Air Force,Air Force
Akron,Akron
Alabama,Alabama
Arizona,Arizona
Arizona State,Arizona State
Arkansas,Arkansas
Arkansas State,Arkansas State
Army,Army
Auburn,Auburn
Ball State,Ball State
Baylor,Baylor
Boise State,Boise State
Boston College,Boston College
Bowling Green,Bowling Green
Brigham Young,BYU
Buffalo,Buffalo
California,California
Central Michigan,Cent Michigan
Cincinnati,Cincinnati
Clemson,Clemson
Colorado,Colorado
Colorado State,Colorado State
Connecticut,Connecticut
Duke,Duke
East Carolina,East Carolina
Eastern Michigan,E Michigan
Florida,Florida
Florida Atlantic,Florida Atl
Florida Intl,FIU
Florida State,Florida State
Fresno State,Fresno State
Georgia,Georgia
Georgia State,Georgia State
Georgia Tech,Georgia Tech
Hawaii,Hawaii
Houston,Houston
Idaho,Idaho
Illinois,Illinois
Indiana,Indiana
Iowa,Iowa
Iowa State,Iowa State
Kansas,Kansas
Kansas State,Kansas State
Kent State,Kent State
Kentucky,Kentucky
Louisiana State,LSU
Louisiana Tech,Louisiana Tech
Louisville,Louisville
Marshall,Marshall
Maryland,Maryland
Massachusetts,Massachusetts
Memphis,Memphis
Miami-Florida,Miami (FL)
Miami-Ohio,Miami (OH)
Michigan,Michigan
Michigan State,Michigan State
Middle Tennessee,Middle Tennessee
Minnesota,Minnesota
Mississippi,Ole Miss
Mississippi State,Mississippi St
Missouri,Missouri
Navy,Navy
Nebraska,Nebraska
Nevada-Las Vegas,UNLV
Nevada-Reno,Nevada
New Mexico,New Mexico
New Mexico State,New Mexico St
No Carolina State,NC State
North Carolina,North Carolina
North Texas,North Texas
Northern Illinois,N Illinois
Northwestern,Northwestern
Notre Dame,Notre Dame
Ohio,Ohio
Ohio State,Ohio State
Oklahoma,Oklahoma
Oklahoma State,Oklahoma State
Oregon,Oregon
Oregon State,Oregon State
Penn State,Penn State
Pittsburgh,Pittsburgh
Purdue,Purdue
Rice,Rice
Rutgers,Rutgers
S-M-U,SMU
San Diego State,San Diego State
San Jose State,San Jose State
South Alabama,South Alabama
South Carolina,South Carolina
South Florida,South Florida
Southern Cal,USC
Southern Miss,Southern Miss
Stanford,Stanford
Syracuse,Syracuse
Temple,Temple
Tennessee,Tennessee
Texas,Texas
Texas A+M,Texas A&M
Texas Christian,TCU
Texas State,Texas State
Texas Tech,Texas Tech
Texas-San Antonio,UTSA
Toledo,Toledo
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
U-A-B,UAB
U-C-F,UCF
U.C.L.A.,UCLA
UL-Lafayette,LA-Lafayette
UL-Monroe,UL Monroe
Utah,Utah
Utah State,Utah State
UTEP,UTEP
Vanderbilt,Vanderbilt
Virginia,Virginia
Virginia Tech,Virginia Tech
Wake Forest,Wake Forest
Washington,Washington
Washington State,Washington St
West Virginia,West Virginia
Western Kentucky,W Kentucky
Western Michigan,W Michigan
Wisconsin,Wisconsin
Wyoming,Wyoming
Miss Valley State,Miss Valley St
S W Missouri St,Missouri State
Central Florida,UCF
The Citadel,Citadel
Georgia Southern,Ga. Southern
Mid Tennessee St,Middle Tennessee
Southern Methodist,SMU
Western Carolina,W Carolina
S E Missouri St,SE Missouri St
Miami Florida,Miami (FL)
Miami Ohio,Miami (OH)
Western Illinois,W Illinois
Texas A & M,Texas A&M
Texas-El Paso,UTEP
Eastern Washington,E Washington
Sam Houston State,Sam Houston
Appalachian State,Appalachian St
Northwestern St(LA),Northwestern St
East Tennessee St,Tennessee State
East Tenn St,Tennessee State
Grambling,Grambling St
Alabama-Birmingham,UAB
Youngstown State,Youngstown St
Stephen F Austin,SF Austin
Tennessee Tech,Tenn Tech
S W Texas State,Texas State
Eastern Illinois,E Illinois
Southern Illinois,S Illinois
Northern Arizona,N Arizona
Eastern Kentucky,E Kentucky
Troy State,Troy
Southern Univ,Southern
Cal-San Luis Obispo,Cal Poly
Florida A & M,Florida A&M
Sacramento State,Sacramento St
Northeastern,Northeastern
Tennessee-Martin,UT Martin
Charleston Southern,Charl Southern
Hofstra,Hofstra
Virginia Military,VMI
Western New Mexico,W New Mexico
S E Louisiana,SE Louisiana
Texas A+M,Texas A&M
Florida A+M,Florida A&M
William + Mary,William & Mary
No Carolina A+T,N Carolina A&T
Northern Colorado,N Colorado
N. Colorado,N Colorado
UC-Davis,UC Davis
So Carolina State,S Carolina St
Central Arkansas,Cent Arkansas
Central Conn State,Cent Conn St
Arkansas-Pine Bluff,AR-Pine Bluff
No Carolina Central,N Carolina Cent
South Dakota State,South Dakota St
Coastal Carolina,Coast Carolina
Alabama A+M,Alabama A&M
Prairie View,PV A&M
Texas A+M-Commerce,TX A&M-Commerce
NW Oklahoma,NW Oklahoma St
West Virginia Tech,W Virginia Tech
Northridge State,CS-Northridge
